Detected,Issue,Related to Tensor,Buggy API,Time,Version,CUDA,Category,Impact,Log Rule,Log Message,Category.1,Trigger Mechanism,Within Scope,Need More Inspection,Reason not agree,Unnamed: 16
,https://github.com/pytorch/pytorch/issues/108345,yes,torch.nn.functional.cross_entropy,2023-08-31T11:06:47Z,2.0.1,N.A,Logical,AssertionError,Assertion,"../aten/src/ATen/native/cuda/NLLLoss2d.cu:107: nll_loss2d_forward_kernel: block: [188,0,0], thread: [32,0,0] Assertion input_index >= 0failed. ../aten/src/ATen/native/cuda NLLLoss2d.cu:107: nll_loss2d_forward_kernel: ",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/107680,yes,torch.nn.functional.cross_entropy,2023-08-22T12:04:15Z,2.0.1,CPU,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Comparing API Output under Different Settings ,,,,
,https://github.com/pytorch/pytorch/issues/104606,yes,torch.nn.functional.conv1d,2023-07-04T19:02:39Z,2.0.1,N.A,Logical,RuntimeError,please report a bug to PyTorch,"RuntimeError: isList() INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/aten/src/ATen/core/ivalue_inl.h"":2034, please report a bug to PyTorch. Expected GenericList but got String",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/111457,yes,torch.matmul,2023-10-18T05:12:55Z,2.0.1,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Supporting Specific Data Types,,,,
,https://github.com/pytorch/pytorch/issues/105726,yes,torch.matmul,2023-07-21T06:56:04Z,2.0.1,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Supporting Specific Data Types,,,,
,https://github.com/pytorch/pytorch/issues/102334,no,torch.load,2023-05-26T04:14:33Z,2.0.1,N.A,Performance bug,Performance bug,Memory Leak,Memory Leak,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/110100,yes,torch.onnx.export,2023-09-26T19:56:04Z,2.0.1,N.A,Logical,AssertionError,doesn't match mode,AssertionError: fake mode (<torch._subclasses.fake_tensor.FakeTensorMode object at 0x7fe4259ac760>) from active fake mode 0 doesn't match mode (<torch._subclasses.fake_tensor.FakeTensorMode object at 0x7fe355ae0760>) from fake tensor input 0,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/104174,yes,torch.distributed.scatter,2023-06-26T07:44:44Z,2.0.1,cu117,Performance bug,Performance bug,Memory Leak,Memory Leak,API Usage Context,Oracle for Performance Bug Detection,,1,trigger: doesn't free memory on the source rank,
,https://github.com/pytorch/pytorch/issues/108210,no,torch.distributed.all_reduce,2023-08-30T03:12:34Z,2.0.1,cu118,Logical,Others,exception not rethrown,FATAL: exception not rethrown,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/107392,no,torch.utils.data.random_split,2023-08-17T16:53:23Z,2.1.0,CPU,Logical,Others,has incompatible type,"error: Argument 1 to ""random_split"" has incompatible type ""range""; expected ""Dataset[<nothing>]""",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/111206,yes,torch.utils.checkpoint.checkpoint,2023-10-13T14:05:58Z,2.1.0,cu118,Logical,AttributeError,has no attribute,AttributeError: 'Tensor' object has no attribute 'huhu',Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/111925,yes,torch.logical_and,2023-10-24T15:37:51Z,2.1.0,,Logical,Others,An output with one or more elements,"UserWarning: An output with one or more elements was resized since it had shape [2, 128], which does not match the required output shape [4, 2, 128]. This behavior is deprecated, and in a future PyTorch release outputs will not be resized unless they have zero elements. You can explicitly reuse an out tensor t by resizing it, inplace, to zero elements with t.resize_(0). (Triggered internally at /opt/conda/conda-bld/pytorch_1695392022560/work/aten/src/ATen/native/Resize.cpp:28.)
  torch.logical_and(b, a)",API Usage Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/109108,yes,torch.sparse_coo_tensor,2023-09-12T13:27:01Z,2.1.0,CPU,Logical,TypeError,only integer tensors of a single element,# TypeError: only integer tensors of a single element can be converted to an index,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/107087,yes,torch.randn,2023-08-12T16:21:00Z,2.1.0,N.A,Logical,RuntimeError,not implemented for,"RuntimeError: ""add_stub"" not implemented for 'Float8_e5m2'",API Input Context,Supporting Specific Data Types,,,,
,https://github.com/pytorch/pytorch/issues/108407,yes,torch.einsum,2023-09-01T09:19:57Z,2.1.0,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/issues/110154,yes,torch.onnx.export,2023-09-27T12:54:55Z,2.1.0,N.A,Logical,ValueError,When exporting a ScriptModule or ScriptFunction,"ValueError: args contained 2 None's after flattening. When exporting a ScriptModule or ScriptFunction, no args may be None because that breaks type propagation.",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/107685,yes,torch.onnx.export,2023-08-22T12:58:26Z,2.1.0,cu121,Logical,Others,The exported ONNX model failed,"/usr/local/lib/python3.10/dist-packages/torch/onnx/utils.py:1672: UserWarning: The exported ONNX model failed ONNX shape inference. The model will not be executable by the ONNX Runtime. If this is unintended and you believe there is a bug, please report an issue at https://github.com/pytorch/pytorch/issues. Error reported by strict ONNX shape inference: [ShapeInferenceError] Shape inference error(s): (op_type:Split, node name: /Split): [ShapeInferenceError] Neither 'split' input nor 'num_outputs' attribute has been given
(op_type:Sigmoid, node name: /Sigmoid): [TypeInferenceError] Input 0 expected to have type but instead is null
(op_type:Mul, node name: /Mul): [TypeInferenceError] Input 0 expected to have type but instead is null
 (Triggered internally at ../torch/csrc/jit/serialization/export.cpp:1403.)
  _C._check_onnx_proto(proto)",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/107522,yes,torch.onnx.export,2023-08-19T20:07:50Z,2.1.0,cu121,Logical,Unsupported Error,Exporting the operator,UnsupportedOperatorError: Exporting the operator 'quantized::linear_relu' to ONNX opset version 16 is not supported. Please feel free to request support or submit a pull request on PyTorch GitHub: https://github.com/pytorch/pytorch/issues.,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/97807,yes,torch.nn.functional.pad,2023-03-28T17:52:04Z,2.1.0,cu116,Logical,ValueError,Mask argument cannot be block type,ValueError('Mask argument cannot be block type if pointer argument is not a block'),Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/109497,yes,torch.lobpcg,2023-09-18T13:41:02Z,2.1.0,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/107503,yes,torch.jit.trace,2023-08-19T02:37:47Z,2.1.0,cu118,Logical,RuntimeError,expected end of number,RuntimeError: default_program(22): error: extra text after expected end of number,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/104732,yes,torch.jit.trace,2023-07-06T20:08:35Z,2.1.0,CPU,Logical,RuntimeError,Arguments for call are not valid,RuntimeError:  Arguments for call are not valid. The following variants are available:,API Usage Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/108378,yes,torch.distributed.isend,2023-08-31T22:00:54Z,2.1.0,N.A,Performance bug,Performance bug,Hang,Hang,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/108676,yes,torch.nn.functional.conv_transpose2d,2023-09-06T17:45:45Z,2.0.0,,Logical,RuntimeError,could not construct a memory,RuntimeError: could not construct a memory descriptor using a format tag,API Usage Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/issues/100343,yes,torch.sum,2023-04-30T18:44:23Z,2.1.0,cu118,Logical,IndexError,out of bounds for,IndexError: index 3 is out of bounds for dimension 0 with size 2,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
TitanFuzz,https://github.com/pytorch/pytorch/issues/98970,yes,torch.nn.functional.dropout,2023-04-12T20:45:41Z,2.1.0,cu118,Logical,RuntimeError,result type Float can't be,RuntimeError: result type Float can't be cast to the desired output type Long,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/111563,yes,torch.autograd.grad,2023-10-19T11:46:56Z,2.1.0,N.A,Performance bug,Performance bug,Slow Execution,Slow Execution,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/96769,yes,torch.sparse.mm,2023-03-14T20:15:43Z,2.0.0,,Logical,RuntimeError,INTERNAL ASSERT FAILED, RuntimeError: mat2_.is_sparse() INTERNAL ASSERT FAILED at ,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/132240,yes,torch.nn.functional.interpolate,2024-07-31T14:56:35Z,2.1.0,,Logical,Others,Arguments for call are not valid,JIT SCRIPT ERROR: Arguments for call are not valid. The following variants are available:,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/129649,yes,torch.nn.functional.conv3d,2024-06-27T10:44:18Z,2.0.1,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/issues/115416,yes,torch.nn.functional.embedding,2023-12-08T12:22:02Z,2.1.0,,Vulnerability,Segmentation fault,Segmentation fault,Segmentation fault (core dumped),API Input Context,Large Input Tensor,,,,
,https://github.com/pytorch/pytorch/issues/114943,yes,torch.einsum,2023-12-01T10:24:55Z,2.1.0,,Performance bug,Performance bug,Tried to allocate,OutOfMemoryError,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/110356,yes,torch.nn.functional.dropout,2023-10-01T13:37:59Z,2.0.1,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/108432,no,torch.jit.trace,2023-09-01T17:53:14Z,2.1.0,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/101159,yes,torch.cuda.memory_summary,2023-05-11T06:15:29Z,2.0.0,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/issues/97913,no,torch.stack,2023-03-29T21:40:31Z,2.0.0,,Logical,ValueError,Cannot determine scalar type,"torch.onnx.errors.SymbolicValueError: Cannot determine scalar type for this '<class 'torch.TensorType'>' instance and a default value was not provided.  [Caused by the value '21 defined in (%21 : Tensor = onnx::Sub(%input, %20), scope: __main__.Example::/torch.nn.modules.normalization.LayerNorm::layer_norm",Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/94704,yes,torch.where,2023-02-12T16:32:30Z,2.0.0,,Logical,RuntimeError,INTERNAL ASSERT FAILED,RuntimeError: !needs_dynamic_casting<func_t>::check(iter) INTERNAL ASSERT FAILED ,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/94208,yes,torch.zeros_like,2023-02-06T19:30:11Z,2.0.0,,Logical,RuntimeError,output with shape,"RuntimeError: output with shape [1, 3, 3] doesn't match the broadcast shape [9, 3, 3]",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/94115,yes,torch.cat,2023-02-04T01:58:14Z,2.0.0,,Logical,RuntimeError,Tensors must have same number of dimensions,RuntimeError: Tensors must have same number of dimensions: got 5 and 2,API Input Context,Empty Input Tensor,,,,
,https://github.com/pytorch/pytorch/issues/94111,yes,torch.svd,2023-02-04T01:32:54Z,2.0.0,,Logical,RuntimeError,INTERNAL ASSERT FAILED,"RuntimeError: !this_view_meta->has_fw_view() INTERNAL ASSERT FAILED at ""/opt/conda/conda-bld/pytorch_1672906354936/work/torch/csrc/autograd/autograd_meta.cpp"":256, please report a bug to PyTorch.  Expected the output of forward differentiable view operations to have the tangent have the same layout as primal",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/112714,yes,torch.nn.functional.log_softmax,2023-11-02T09:43:06Z,2.0.1,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/commit/f343f98710dfa7305a873f558086c595a3c3d3d4,no,torch.jit.load,2024,2.1.0,,Logical,ValueError,vector::_M_default_append,ValueError: vector::_M_default_append,Others,Others,,,,
,https://github.com/pytorch/pytorch/commit/7dfd2949d74ab3a523a0abc6270cc426cdcf4a00,yes,torch.tensor,2024,2.1.0,,Logical,RuntimeError,INTERNAL ASSERT FAILED,"RuntimeError: false INTERNAL ASSERT FAILED at ""/ansible/pytorch/torch/csrc/lazy/core/hash.h"":139, please report a bug to PyTorch. Unsupported scalar type:UInt16",API Input Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/commit/5677128cb892d17fe2281beae9e394fd6f89e455,yes,torch.nn.functional.binary_cross_entropy,2024,2.0.0,,Vulnerability,Others,Fatal Python error: Aborted,LLVM ERROR: Failed to infer result type(s). Fatal Python error: Aborted,API Input Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/commit/939008a268cfc345d758a51c13a2fd9fe8327a84,yes,torch.jit.trace,2024,2.1.0,,Logical,RuntimeError,Named tensors are not supported with the tracer,RuntimeError: NYI: Named tensors are not supported with the tracer,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/commit/8739d1e3f9b08f4282fe79fc8dacd781d16913ff,yes,torch.autograd.gradcheck,2023,2.0.0,,Logical,Others,Jacobian mismatch for output,"torch.autograd.gradcheck.GradcheckError: Jacobian mismatch for output 0 with respect to input 0,",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/commit/85aa3723749e0d06aa5fd34215b9b93529a60995,yes,torch.nn.functional.conv2d,2023,2.0.0,,Logical,BackendCompilerFailed,raised,torch._dynamo.exc.BackendCompilerFailed: backend='inductor' raised: LoweringException: AssertionError:,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/commit/0b424ee0b7bfe09e0a438a63e8336e95eea85901,yes,torch.cuda.memory_stats,2023,2.0.0,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/commit/2b3917dc63f7daf197602f3f924a1bb1c0c94802,no,torch.onnx.export,2023,2.0.1,,Performance bug,Performance bug,Memory Leak,Memory Leak,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/commit/9165d46b8949f38744c9c642172767cf5833b292,no,torch.distributed.all_reduce,2023,2.0.0,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/commit/bb4e9e9124a81859de6ac1ef0c0798643cb9b7a6,yes,torch.cat,2023,2.1.0,,Logical,AssertionError,assert,assert torch.allclose(AssertionError: ,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/commit/a8429342df25531f39f2b16a934a082566d44da1,yes,torch.tensor,2023,2.0.0,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/commit/9c7b03d51e097c40abdb9ef55ce79b98d7f1fd48,yes,torch.is_floating_point,2023,2.0.0,,Logical,IndexError,list index out of range,IndexError: list index out of range,API Input Context,Large Input Tensor,,,,
,https://github.com/pytorch/pytorch/commit/795473ff5e861f21c6b5e0611177fcfa9e1c4e0c,yes,torch.nn.functional.conv2d,2022,2.1.0,,Logical,RuntimeError,on tensor with symbolic,RuntimeError: Cannot call sizes() on tensor with symbolic sizes/strides,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/commit/ece0002c4beaebaf083dc75b7bf8ceb19edf7a0b,no,torch.jit.trace,2022,2.1.0,,Logical,AssertionError,Graphs differed across invocations,ERROR: Graphs differed across invocations! Graph diff:,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/commit/1a845579b67f522e22d899126c92672f46f6a7b9,yes,torch.rand,2022,2.1.0,,Logical,Inconsistent results,object is not subscriptable,"/home/xxx/.local/lib/python3.7/site-packages/torch/onnx/utils.py:366: UserWarning: Skipping _decide_input_format
 'NoneType' object is not subscriptable
  warnings.warn(""Skipping _decide_input_format\n {}"".format(e.args[0]))
PyTorch Output DTypes: (torch.float64, torch.float32)
ONNX Output DTypes: ('onnx.TensorProto.FLOAT', 'onnx.TensorProto.FLOAT')",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/commit/75db05c3fdb6f3b6682dab1532cd6e1e5b423527,yes,torch.set_default_dtype,2022,2.0.0,,Vulnerability,Segmentation fault,Segmentation fault,segmentation fault,API Input Context,Supporting Specific Data Types,,,,
,https://github.com/pytorch/pytorch/commit/b69155f754bb077acf0dc3e32251f0352234ed5c,yes,torch.save,2021,2.0.0,,Logical,RuntimeError,Trying to resize storage that is not resizable,RuntimeError: Trying to resize storage that is not resizable at ../aten/src/TH/THStorageFunctions.cpp:100,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/commit/6c235ef267c350225b7ca3f0caedb1a05c9df9ec,yes,torch.normal,2021,2.0.0,,Logical,RuntimeError,but found std,"RuntimeError: normal_ expects std > 0.0, but found std=-1",API Input Context,Negative Integer Argument,,,,
