Library,Issue Link,Date,Title,API Name,Library Version,CUDA Version
tensorflow,https://github.com/tensorflow/tensorflow/issues/72755,2024-07-30T07:10:50Z,Can not provide a sparse tensor to calculate ctc loss in TnesorFlow2,"tf.nn.ctc_loss 
tf.sparse.from_dense",2.18.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/72709,2024-07-29T15:18:49Z,`tf.bitwise.left_shift`'s behavior is different on cpu and gpu on tensorflow 2.18.0-dev20240728,tf.bitwise.left_shift,2.18.0,12.4
tensorflow,https://github.com/tensorflow/tensorflow/issues/72365,2024-07-23T13:34:32Z,tf.range miss some dtypes support,tf.range,2.18.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/72362,2024-07-23T12:46:06Z,tf.raw_ops.BlockLSTMV2: tensorflow/core/framework/tensor.cc:1075] Check failed: 0 = start (0 vs. -9) Aborted (core dumped),tf.raw_ops.BlockLSTMV2,2.18.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/72332,2024-07-23T00:44:47Z,tf.strided_slice new_axis_mask inconsistency,tf.strided_slice,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/72295,2024-07-22T14:08:43Z,tf.raw_ops.MapUnstage: Check failed: 1 == NumElements() (1 vs. 120)Must have a one element tensor Aborted (core dumped),tf.raw_ops.MapUnstage,2.18.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/71937,2024-07-16T15:02:16Z,`tf.data.Dataset.prefetch()` error with basic usage,tf.data.Dataset.prefetch,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/71833,2024-07-14T21:08:50Z,Inconsistent results from distributed training of models containing `TimeDistributed` or `SeparableConv2D`,"tf.TimeDistributed
tf.SeparableConv2D",2.18.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/71744,2024-07-12T12:24:35Z,`tf.data.Dataset.from_tensor_slices` allocates GPU RAM,tf.data.Dataset.from_tensor_slices,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/70311,2024-06-24T22:48:34Z,model.fit ValueError: Cannot take the length of shape with unknown rank.,tf.model.fit,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69700,2024-06-13T14:38:21Z,Segmentation fault in `tf.raw_ops.CollectiveAllToAllV2`,tf.raw_ops.CollectiveAllToAllV2,2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69699,2024-06-13T14:35:21Z,Segmentation fault in `tf.raw_ops.CollectiveGatherV2`,tf.raw_ops.CollectiveGatherV2,2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69595,2024-06-12T12:44:00Z,tf.signal.rfftnd throws NotFoundError on CPU execution (GPU-behavior unknown),tf.signal.rfftnd,2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69471,2024-06-10T13:24:51Z,Aborted (core dumped) in `tf.experimental.numpy.diag/tf.compat.v1.linalg.diag/tf.experimental.numpy.diagflat/tf.keras.ops.diag`,"tf.experimental.numpy.diag
tf.compat.v1.linalg.diag
tf.experimental.numpy.diagflat
tf.keras.ops.diag",2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69286,2024-06-06T01:24:46Z,Aborted (core dumped) in `tf.raw_ops.ResourceApplyCenteredRMSProp/tf.raw_ops.ResourceSparseApplyCenteredRMSProp`,"tf.raw_ops.ResourceApplyCenteredRMSProp 
tf.raw_ops.ResourceSparseApplyCenteredRMSProp",2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69285,2024-06-06T01:19:37Z,Aborted (core dumped) in `tf.raw_ops.ResourceApplyAdagrad/tf.raw_ops.ResourceApplyAdagradDA/tf.raw_ops.ResourceApplyAdagradV2`,"tf.raw_ops.ResourceApplyAdagrad
tf.raw_ops.ResourceApplyAdagradDA
tf.raw_ops.ResourceApplyAdagradV2",2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69284,2024-06-06T01:15:35Z,Aborted (core dumped) in `tf.raw_ops.ResourceSparseApplyAdagrad/tf.raw_ops.ResourceSparseApplyAdagradDA/tf.raw_ops.ResourceSparseApplyAdagradV2`,"tf.raw_ops.ResourceSparseApplyAdagrad 
tf.raw_ops.ResourceSparseApplyAdagradDA 
tf.raw_ops.ResourceSparseApplyAdagradV2",2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69283,2024-06-06T01:10:53Z,Aborted (core dumped) in `tf.raw_ops.ResourceSparseApplyAdadelta/tf.raw_ops.ResourceApplyAdadelta`,"tf.raw_ops.ResourceSparseApplyAdadelta
tf.raw_ops.ResourceApplyAdadelta",2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69281,2024-06-06T01:07:46Z,Aborted (core dumped) in `tf.raw_ops.ResourceApplyRMSProp/tf.raw_ops.ResourceSparseApplyRMSProp`,"tf.raw_ops.ResourceApplyRMSProp
tf.raw_ops.ResourceSparseApplyRMSProp",2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69279,2024-06-06T01:01:58Z,Aborted (core dumped) in `tf.raw_ops.ResourceApplyKerasMomentum/tf.raw_ops.ResourceSparseApplyKerasMomentum`,"tf.raw_ops.ResourceApplyKerasMomentum
tf.raw_ops.ResourceSparseApplyKerasMomentum",2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69278,2024-06-06T00:53:19Z,Aborted (core dumped) in `tf.raw_ops.ResourceApplyFtrl/tf.raw_ops.ResourceApplyFtrlV2/tf.raw_ops.ResourceSparseApplyFtrl/tf.raw_ops.ResourceSparseApplyFtrlV2`,"tf.raw_ops.ResourceApplyFtrl
tf.raw_ops.ResourceApplyFtrlV2
tf.raw_ops.ResourceSparseApplyFtrl
tf.raw_ops.ResourceSparseApplyFtrlV2",2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69220,2024-06-05T10:42:09Z,Aborted (core dumped) in `tf.raw_ops.QuantizeAndDequantizeV3`,tf.raw_ops.QuantizeAndDequantizeV3,2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/69213,2024-06-05T09:19:56Z,Aborted (core dumped) in `tf.transpose`,"tf.transpose 
tf.experimental.numpy.transpose 
tf.compat.v1.transpose 
tf.keras.ops.transpose 
tf.raw_ops.transpose 
tf.raw_ops.ConjugateTranspose",2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/68836,2024-05-29T19:33:25Z,segmentation fault when tf.histogram_fixed_width receives large `value_range` and `nbins` on CPU mode,"API Name
tf.histogram_fixed_width",2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/68593,2024-05-24T11:24:11Z,Local rendezvous is aborting with status: OUT_OF_RANGE: End of sequence when call some methods of `tf.data`,tf.data,2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/67023,2024-05-06T14:57:57Z,GlobalAveragePooling1D fails with empty inputs and a mask,tf.keras.layers.GlobalAveragePooling1D,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66768,2024-05-01T04:08:30Z,Aborted (core dumped) in `TensorScatterOp`,"tf.raw_ops.TensorScatterAdd
tf.raw_ops.TensorScatterMax
tf.raw_ops.TensorScatterMin
tf.raw_ops.TensorScatterSub
tf.raw_ops.TensorScatterUpdate",2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66766,2024-05-01T03:53:11Z,Aborted (core dumped) in `tf.raw_ops.SparseBincount`,tf.raw_ops.SparseBincount,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66765,2024-05-01T03:50:23Z,Aborted (core dumped) in `tf.raw_ops.NearestNeighbors`,tf.raw_ops.NearestNeighbors,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66764,2024-05-01T03:46:46Z,Check fail in `tf.raw_ops.MaxPoolGradWithArgmax`,tf.raw_ops.MaxPoolGradWithArgmax,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66763,2024-05-01T03:41:25Z,Aborted (core dumped) with `tf.raw_ops.LSTMBlockCellGrad`,tf.raw_ops.LSTMBlockCellGrad,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66762,2024-05-01T03:37:18Z,Aborted (core dumped) with `tf.raw_ops.LSTMBlockCell`,tf.raw_ops.LSTMBlockCell,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66761,2024-05-01T03:33:03Z,Aborted (core dumped) with `tf.raw_ops.LRNGrad`,tf.raw_ops.LRNGrad,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66759,2024-05-01T03:16:02Z,Aborted (core dumped) with `tf.raw_ops.FakeQuantWithMinMaxVarsPerChannelGradient`,tf.raw_ops.FakeQuantWithMinMaxVarsPerChannelGradient,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66758,2024-05-01T03:05:19Z,Aborted (core dumped) with `tf.raw_ops.Dilation2DBackpropFilter`,tf.raw_ops.Dilation2DBackpropFilter,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66757,2024-05-01T02:59:49Z,Aborted (core dumped) with `tf.raw_ops.CombinedNonMaxSuppression`,tf.raw_ops.CombinedNonMaxSuppression,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66583,2024-04-28T09:40:56Z,tf.raw_ops.StringSplitV2 does not limit a number of splits by max_split attribute,tf.raw_ops.StringSplitV2,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/66115,2024-04-19T22:45:12Z,tf.function deadlock with multiple multiprocess/threading,tf.function,2.16.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65871,2024-04-16T19:18:25Z,`Overflow` in `tf.raw_ops.SparseReduceSumSparse` when there are too large values in `input_shape`.,tf.raw_ops.SparseReduceSumSparse,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65868,2024-04-16T19:07:33Z,`Assertion failure` in `tf.signal.inverse_stft` when the value of `frame_length` is too large.,tf.signal.inverse_stft,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65866,2024-04-16T18:52:12Z,`Check failed` in `tf.linalg.diag`,tf.linalg.diag,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65864,2024-04-16T18:32:12Z,`Overflow` in `tf.compat.v1.nn.ctc_loss` and `tf.compat.v1.nn.ctc_loss_v2` when there are too large values in `labels`.,"tf.compat.v1.nn.ctc_loss
tf.compat.v1.nn.ctc_loss_v2",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65862,2024-04-16T18:14:07Z,`Check failed` in `tf.raw_ops.TensorListSplit` when the values of `element_shape` are too large.,tf.raw_ops.TensorListSplit,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65835,2024-04-16T10:53:07Z,Segmentation fault in `tf.config.experimental_connect_to_cluster` with `@tf.function`,tf.config.experimental_connect_to_cluster,2.16.1,12.0.0
tensorflow,https://github.com/tensorflow/tensorflow/issues/65793,2024-04-16T05:25:05Z,`Segmentation fault` in `tf.raw_ops.TensorArrayV3` when the value of `size` is too large.,tf.raw_ops.TensorArrayV3,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65791,2024-04-16T05:10:26Z,`Segmentation fault` in `tf.raw_ops.SparseFillEmptyRows` when the value of `dense_shape` is too large.,tf.raw_ops.SparseFillEmptyRows,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65790,2024-04-16T05:05:06Z,`Segmentation fault` in `tf.raw_ops.RaggedRange` and `tf.ragged.range` when `starts` or `limits` has large (postive/negative) values.,"tf.raw_ops.RaggedRange 
tf.ragged.range",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65785,2024-04-16T04:43:40Z,`Segmentation fault` in `tf.raw_ops.CollectiveGather` when `input` is empty.,tf.raw_ops.CollectiveGather,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65783,2024-04-16T04:35:16Z,`Segmentation fault` in `tf.raw_ops.ConjugateTranspose` when `perm` have negative values.,tf.raw_ops.ConjugateTranspose,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65736,2024-04-15T17:12:56Z,`Assertion failure` in `tf.raw_ops.RFFT` and `tf.signal.rfft` when the value of `fft_length` is 0.,"tf.raw_ops.RFFT
tf.signal.rfft",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65735,2024-04-15T17:11:05Z,`Assertion failure` in `tf.raw_ops.RFFT2D` and `tf.signal.rfft2d` when the values of `fft_length` are 0.,"tf.raw_ops.RFFT2D
tf.signal.rfft2d",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65733,2024-04-15T16:58:23Z,Some crash errors in `tf.raw_ops.RFFT3D` and `tf.signal.rfft3d`,"tf.raw_ops.RFFT3D 
tf.signal.rfft3d",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65732,2024-04-15T16:19:28Z,`Segmentation fault` in `tf.raw_ops.LoadAndRemapMatrix` when the value of `num_cols` is too large while `col_remapping` is empty.,tf.raw_ops.LoadAndRemapMatrix,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65731,2024-04-15T16:04:05Z,`Check failed` in `tf.raw_ops.LoadAndRemapMatrix` when the rank of `ckpt_path` is not equal to the rank of `old_tensor_name`.,tf.raw_ops.LoadAndRemapMatrix,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65729,2024-04-15T15:35:53Z,`Check failed` in `tf.raw_ops.Batch` when the value of `num_batch_threads` is too large.,tf.raw_ops.Batch,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65728,2024-04-15T15:09:23Z,`Check Failed` in `tf.raw_ops.FakeQuantWithMinMaxVarsPerChannel` and `tf.quantization.fake_quant_with_min_max_vars_per_channel` when the input of `inputs` is scalar.,"tf.raw_ops.FakeQuantWithMinMaxVarsPerChannel 
tf.quantization.fake_quant_with_min_max_vars_per_channel",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65727,2024-04-15T14:50:33Z,`Overflow` in `tf.raw_ops.SerializeManySparse` when there are too large values in `sparse_shape`.,tf.raw_ops.SerializeManySparse,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65724,2024-04-15T14:40:25Z,Some errors in `tf.raw_ops.SparseTensorDenseMatMul` when there are negative or too large values in `a_shape`.,tf.raw_ops.SparseTensorDenseMatMul,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65721,2024-04-15T12:48:08Z,`Check failed` in `f.raw_ops.CropAndResizeGradBoxes` when `boxes` and `box_indices` are empty.,tf.raw_ops.CropAndResizeGradBoxes,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65675,2024-04-14T19:02:53Z,Memory leak in tf.data when iterating over Dataset.from_generator,tf.data.Dataset.from_generator,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65674,2024-04-14T17:41:03Z,Some `Check Failed` errors in `tf.raw_ops.MatrixSetDiagV2`,tf.raw_ops.MatrixSetDiagV2,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65673,2024-04-14T17:33:52Z,Some `Check Failed` errors in `tf.raw_ops.MatrixSetDiagV3`,tf.raw_ops.MatrixSetDiagV3,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65672,2024-04-14T17:14:00Z,`Segmentation Fault` in `tf.raw_ops.TensorListScatter` and `tf.raw_ops.TensorListScatterV2` when the value of `indices` is too large.,"tf.raw_ops.TensorListScatter
tf.raw_ops.TensorListScatterV2",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65671,2024-04-14T16:46:04Z,`Check failed` in `tf.raw_ops.TensorScatterAdd` and `tf.tensor_scatter_nd_add` when the rank of `indices`  2.,"tf.raw_ops.TensorScatterAdd
tf.tensor_scatter_nd_add",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65670,2024-04-14T16:41:30Z,`Check failed` in `tf.raw_ops.TensorScatterSub` and `tf.tensor_scatter_nd_sub` when the rank of `indices`  2.,"tf.raw_ops.TensorScatterSub
tf.tensor_scatter_nd_sub",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65668,2024-04-14T16:16:43Z,`Check failed` in `tf.raw_ops.TensorScatterMax` and `tf.tensor_scatter_nd_max` when the rank of `indices`  2.,"tf.raw_ops.TensorScatterMax
tf.tensor_scatter_nd_max",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65667,2024-04-14T16:11:54Z,`Check failed` in `tf.raw_ops.TensorScatterUpdate` and `tf.tensor_scatter_nd_update` when the rank of `indices`  2.,"tf.raw_ops.TensorScatterUpdate 
tf.tensor_scatter_nd_update",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65666,2024-04-14T15:25:42Z,`Check failed` in `tf.raw_ops.ScatterNd` and `tf.scatter_nd` when the rank of `indices`  2.,"tf.raw_ops.ScatterNd
tf.scatter_nd",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65653,2024-04-14T05:32:07Z,`Check failed` and `segmentation fault` in `tf.raw_ops.AudioSpectrogram`.,tf.raw_ops.AudioSpectrogram,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65652,2024-04-14T05:10:59Z,`Check failed` in `tf.image.crop_and_resize` and `tf.compat.v1.image.crop_and_resize` when `boxes` and `box_indices` are empty.,"tf.image.crop_and_resize
tf.compat.v1.image.crop_and_resize",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65647,2024-04-14T04:28:10Z,`segmentation fault` in `tf.raw_ops.AddManySparseToTensorsMap` when `sparse_indices` and `sparse_values` are empty and `sparse_shape` is too large.,tf.raw_ops.AddManySparseToTensorsMap,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65636,2024-04-13T18:25:26Z,`Check failed` in `tf.raw_ops.UnbatchGrad` when the input of `original_input` is empty.,tf.raw_ops.UnbatchGrad,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65634,2024-04-13T18:07:22Z,`Overflow` in `tf.raw_ops.DenseBincount` when the value of `size` is too large.,tf.raw_ops.DenseBincount,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65633,2024-04-13T17:50:28Z,Some `Check Failed` errors in `tf.raw_ops.Unbatch`,tf.raw_ops.Unbatch,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65632,2024-04-13T16:27:05Z,`Check failed` in `tf.strings.unsorted_segment_join` when the rank of `inputs` is larger than 1 and the value of `num_segments` is too large.,tf.strings.unsorted_segment_join,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65630,2024-04-13T15:18:37Z,`Check failed` and other errors in `tf.unstack` when dtype of `axis` is `uint64`.,tf.unstack,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65436,2024-04-11T03:57:52Z,model.summary() broken for custom models subclassed from tf.keras.Model,tf.keras.Model,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65379,2024-04-10T06:56:36Z,"tf.raw_ops.Unbatch aborts with ""Check failed: d  dims()""",tf.raw_ops.Unbatch,2.17.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/65120,2024-04-05T12:49:16Z,`floating point exception` in `tf.nn.max_pool3d` when value of `ksize` is too large.,tf.nn.max_pool3d,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/64928,2024-04-02T17:03:12Z,`SystemError` in `tf.raw_ops.ParallelConcat` when `dtype` of `shape` is `tf.qint16` or `tf.quint16`.,tf.raw_ops.ParallelConcat,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/64923,2024-04-02T15:36:54Z,`SystemError` in `tf.signal.frame` when `dtype` of `frame_step` is `tf.uint64` and its value is too large.,tf.signal.frame,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/64917,2024-04-02T12:46:59Z,`SystemError` in `tf.ensure_shape` and `tf.compat.v1.ensure_shape` when `dtype` of `shape` is `tf.uint64` and its value is too large.,"tf.ensure_shape
tf.compat.v1.ensure_shape",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/64681,2024-03-28T16:15:23Z,Check failed: ret == 0 (11 vs. 0)Thread tf_data_private_threadpool creation via pthread_create() failed. Aborted (core dumped),tf.data.Dataset.from_tensor_slices,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/64655,2024-03-28T07:38:24Z,Aborted (core dumped) with `tf.raw_ops.LoadAndRemapMatrix`,tf.raw_ops.LoadAndRemapMatrix,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/64349,2024-03-23T08:43:08Z,how to solve this error ? : AttributeError: module 'keras._tf_keras.keras.layers' has no attribute 'experimental',tf.keras.layers.experimental.SyncBatchNormalization,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/64256,2024-03-22T05:21:16Z,"tf.raw_ops.ApproximateEqual/Erfinv fail support a few data types, inconsistent with the documentation","tf.raw_ops.ApproximateEqual 
tf.raw_ops.Erfinv",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/64225,2024-03-21T21:30:58Z,using tf.linalg.det in custom loss function yields matrix inversion error,tf.linalg.det,2.16.1,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63937,2024-03-19T02:26:44Z,Aborted (core dumped) in tf.raw_ops.SparseMatrixZeros,tf.raw_ops.SparseMatrixZeros,2.13.0,12
tensorflow,https://github.com/tensorflow/tensorflow/issues/63848,2024-03-17T08:26:25Z,tf.math.angle(nan) returns inconsistent results on dtype float64 / complex128.,tf.math.angle,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63721,2024-03-14T15:59:00Z,A check fail can be triggered in tf.raw_ops.StatefulPartitionedCall,tf.raw_ops.StatefulPartitionedCall,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63720,2024-03-14T15:57:19Z,A check fail can be triggered in tf.raw_ops.ResourceSparseApplyKerasMomentum,tf.raw_ops.ResourceSparseApplyKerasMomentum,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63697,2024-03-14T05:57:34Z,tf.raw_ops.ResourceApplyProximalAdagrad: Aborted (core dumped),tf.raw_ops.ResourceApplyProximalAdagrad,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63696,2024-03-14T05:55:30Z,tf.raw_ops.ResourceApplyMomentum: Aborted (core dumped),tf.raw_ops.ResourceApplyMomentum,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63693,2024-03-14T05:50:58Z,tf.raw_ops.QuantizeAndDequantizeV3: Aborted (core dumped),tf.raw_ops.QuantizeAndDequantizeV3,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63691,2024-03-14T05:48:39Z,tf.raw_ops.ExperimentalDatasetToTFRecord: Aborted (core dumped),tf.raw_ops.ExperimentalDatasetToTFRecord,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63689,2024-03-14T05:41:47Z,tf.raw_ops.DatasetToTFRecord: Aborted (core dumped),tf.raw_ops.DatasetToTFRecord,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63685,2024-03-14T05:16:01Z,tf.transpose lead to program abortion on a normal value while the perm contains -1,"API Name
tf.transpose",2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63643,2024-03-13T19:26:58Z,Incorrect result when using tf.norm to conduct p-norm computation on float16 precision,tf.norm,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63632,2024-03-13T18:29:08Z,How can I exit the XLAControlFlowContext when inside a jit_compile tf.function? Exit() function take no effect.,tf.function,2.15.0,12.3
tensorflow,https://github.com/tensorflow/tensorflow/issues/63392,2024-03-11T07:27:07Z,conv2d op produces output without nan with nan inputs,tf.cast,2.10.0,12.2
tensorflow,https://github.com/tensorflow/tensorflow/issues/63380,2024-03-10T15:00:49Z,tf.tensor_scatter_nd_add: Aborted (core dumped),tf.tensor_scatter_nd_add,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63378,2024-03-10T14:57:36Z,tf.raw_ops.TensorScatterSub: Aborted (core dumped),tf.raw_ops.TensorScatterSub,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63376,2024-03-10T14:51:07Z,tf.raw_ops.FusedPadConv2D: Aborted (core dumped),tf.raw_ops.FusedPadConv2D,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63355,2024-03-09T15:03:18Z,core dumped with tf.raw_ops.FakeQuantWithMinMaxVarsPerChannel,tf.raw_ops.FakeQuantWithMinMaxVarsPerChannel,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63353,2024-03-09T14:54:40Z,Aborted (core dumped) with tf.raw_ops.AvgPoolGrad,tf.raw_ops.AvgPoolGrad,2.15.0,CPU
tensorflow,https://github.com/tensorflow/tensorflow/issues/63352,2024-03-09T14:50:26Z,Segmentation fault with tf.raw_ops.AudioSpectrogram,tf.raw_ops.AudioSpectrogram,2.15.0,CPU
