Detected,Issue,Related to Tensor,Version,Buggy API,Category,Impact,Log Rule,Log Message,Category.1,Trigger Mechanism,Description,Need More Inspection(0/1),Reason not agree,Unnamed: 14,Time,Related,CUDA
FreeFuzz,https://github.com/tensorflow/tensorflow/issues/61780,yes,2.14.0,tf.compat.v1.gather,Vulnerability,Check failed,Aborted (core dumped),"2023-09-03 13:08:24.487989: F ./tensorflow/core/util/gpu_launch_config.h:160] Check failed: work_element_count >= 0 (0 vs. -549025096)
Aborted (core dumped)",API Input Context,Large Input Tensor,,,,,2023-09-03T14:31:11Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61643,yes,2.13.0,tf.keras.layers.RepeatVector,Vulnerability,Check failed,Aborted,"2023-08-18 22:31:59.138979: F tensorflow/tsl/framework/bfc_allocator.cc:797] Check failed: c->in_use() && (c->bin_num == kInvalidBinNum) 
Aborted",API Input Context,Large Integer Argument,,,,,2023-08-19T02:33:17Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/61642,yes,2.13.0,tf.compat.v1.layers.MaxPooling1D,Vulnerability,Check failed,Aborted,"2023-08-18 22:04:08.473555: F tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:983] Check failed: cudnnSetPoolingNdDescriptor( handle_.get(), (pooling_descriptor.mode() == dnn::PoolingMode::kMaximum ? cudnn_max_pooling_mode : CUDNN_POOLING_AVERAGE_COUNT_EXCLUDE_PADDING), propagate_nans ? CUDNN_PROPAGATE_NAN : CUDNN_NOT_PROPAGATE_NAN, nd, shape.data(), padding.data(), strides.data()) == CUDNN_STATUS_SUCCESS (3 vs. 0)
Aborted",API Input Context,Large List Element,,,,,2023-08-19T02:28:18Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/61639,yes,2.14.0,tf.math.softmax,Logical,InvalidArgumentError,invalid configuration argument,"Non-OK-status: GpuLaunchKernel( GenerateNormalizedProb<T, acc_type, kUnroll>, numBlocks, numThreadsPerBlock, 0, cu_stream, reinterpret_cast<const T*>(logits_in_.flat().data()), reinterpret_cast<const acc_type*>( sum_probs.flat<acc_type>().data()), reinterpret_cast<const T*>(max_logits.flat().data()), const_cast<T*>(softmax_out->flat().data()), rows, cols, log_) status: INTERNAL: invalid configuration argument",API Input Context,Large List Element,,,,,2023-08-18T13:55:11Z,1.0,cu118
DocTer,https://github.com/tensorflow/tensorflow/issues/61605,yes,2.13.0,tf.keras.layers.MaxPool2D,Vulnerability,Check failed,Allocation of,"{""pid"":7,""type"":""jupyter"",""level"":40,""msg"":""2023-08-17 14:26:40.077428: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6093750902 exceeds 10% of free system memory."",""time"":""2023-08-17T14:26:40.077Z"",""v"":0}
{""pid"":7,""type"":""jupyter"",""level"":40,""msg"":""2023-08-17 14:26:42.860963: F tensorflow/core/framework/tensor_shape.cc:587] Check failed: size >= 0 (0 vs. -1248091845)"",""time"":""2023-08-17T14:26:42.861Z"",""v"":0}",API Input Context,Large List Element,,,,,2023-08-17T15:21:19Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/62778,yes,2.13.0,tf.shape,Logical,InvalidArgumentError,dimension 0 out of bounds,tensorflow.python.framework.errors_impl.InvalidArgumentError: {{function_node __wrapped__StridedSlice_device_/job:localhost/replica:0/task:0/device:GPU:0}} slice index 1 of dimension 0 out of bounds. [Op:StridedSlice] name: strided_slice/ [[{{node numpy_function_1}}]] [Op:IteratorGetNext] name:,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2024-01-11T02:23:23Z,,
,https://github.com/tensorflow/tensorflow/issues/62509,yes,2.14.0,tf.tan,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-11-30T09:59:49Z,,
,https://github.com/tensorflow/tensorflow/issues/62509,yes,2.14.0,tf.math.reduce_prod,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-11-30T09:59:49Z,,
,https://github.com/tensorflow/tensorflow/issues/62504,yes,2.14.0,tf.squeeze,Vulnerability,Others,MemoryError: std::bad_alloc,"/usr/local/lib/python3.10/dist-packages/tensorflow/python/ops/gen_array_ops.py in squeeze(input, axis, name)
  10614   if tld.is_eager:
  10615     try:
> 10616       _result = pywrap_tfe.TFE_Py_FastPathExecute(
  10617         _ctx, ""Squeeze"", name, input, ""squeeze_dims"", axis)
  10618       return _result

MemoryError: std::bad_alloc",API Input Context,Supporting Specific Data Types,,,,,2023-11-29T19:27:17Z,,
,https://github.com/tensorflow/tensorflow/issues/62399,no,2.12.0,tf.math.log,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,,2023-11-14T23:45:40Z,,
,https://github.com/tensorflow/tensorflow/issues/61510,yes,2.13.0,tf.matmul,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Large Input Tensor,https://github.com/tensorflow/tensorflow/pull/61595,,,,2023-08-09T11:02:05Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61369,no,2.13.0,tf.keras.layers.StringLookup,Logical,ValueError,Cannot set an empty vocabulary,"ValueError: Cannot set an empty vocabulary, you passed [].",API Input Context,Modeling Specific Inputs,Mohammad,,,,2023-07-24T17:57:32Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61249,yes,2.13.0,tf.linalg.logdet,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Supporting Specific Data Types,,,,,2023-07-12T05:06:25Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61246,yes,2.13.0,tf.image.adjust_contrast,Logical,NotFoundError,Could not find device for node,NotFoundError: Could not find device for node: {{node AdjustContrastv2}} = AdjustContrastv2[T=DT_HALF],API Input Context,Supporting Specific Data Types,,,,,2023-07-11T16:05:56Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61117,yes,2.13.0,tf.math.reduce_prod,Logical,AssertionError,AssertionError,AssertionError: d2z_dydx = 0.0,API Input Context,Modeling Specific Inputs,,1.0,trigger: 0  elements in the input,,2023-06-28T16:17:39Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/60929,yes,2.13.0,tf.matmul,Logical,RuntimeError,failed to prepare,"Keras mode output: [[16. 19.]] Lite mode output:  RuntimeError: tensorflow/lite/kernels/fully_connected.cc:360 NumElements(bias) != SizeOfDimension(filter, 0) (1 != 2)Node number 0  (FULLY_CONNECTED) failed to prepare.Failed to apply the default TensorFlow Lite delegate indexed at 0.",API Input Context,Generating Tensors with Incompatible Shapes,,,,,2023-06-20T02:32:43Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/60925,yes,2.14.0,tf.concat,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-06-19T18:02:40Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/60892,yes,2.13.0,tf.math.softplus,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Large Input Tensor,,1.0,trigger: large inputs after converting to lite model,,2023-06-16T05:05:57Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/60765,yes,2.13.0,tf.raw_ops.AddN,Logical,AssertionError,Not equal to tolerance,"    raise AssertionError(msg)
AssertionError: 
Not equal to tolerance rtol=0.0001, atol=0.0001",Test Case Context,Modeling Decorators for DL Execution Mode,,1.0,trigger is jti_compile mode with complex number,,2023-06-02T10:59:11Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/60764,yes,2.12.0,tf.raw_ops.Acos,Logical,AssertionError,Not equal to tolerance,"    raise AssertionError(msg)
AssertionError: 
Not equal to tolerance rtol=0.0001, atol=0.0001",Test Case Context,Modeling Decorators for DL Execution Mode,,1.0,trigger is jti_compile mode with complex number,,2023-06-02T10:50:29Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/60756,yes,2.13.0,tf.raw_ops.GatherV2,Vulnerability,Check failed,Check failed,"2023-06-02 11:41:06.810728: F tensorflow/core/framework/tensor_shape.cc:201] Non-OK-status: InitDims(dim_sizes) status: INVALID_ARGUMENT: Encountered overflow when multiplying 246417692688323817 with 562326056, result: -1
zsh: abort (core dumped)  python test.py",API Input Context,Large Input Tensor,,,,,2023-06-02T03:14:31Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/60714,yes,2.12.0,tf.split,Logical,ValueError,Check failed,"ValueError: Exception encountered when calling layer ""bn3"" (type BatchNormalization).
Shape must be rank 4 but is rank 5 for '{{node bn3/FusedBatchNormV3}} = FusedBatchNormV3[T=DT_FLOAT, U=DT_FLOAT, data_format=""NHWC"", epsilon=0.001, exponential_avg_factor=1, is_training=false](Placeholder, bn3/ReadVariableOp, bn3/ReadVariableOp_1, bn3/FusedBatchNormV3/ReadVariableOp, bn3/FusedBatchNormV3/ReadVariableOp_1)' with input shapes: [1,?,128,128,32], [32], [32], [32], [32].",API Input Context,Generating Tensors with Incompatible Shapes,,,,,2023-05-26T17:33:07Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/60521,no,2.12.0,tf.nn.leaky_relu,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Supporting Specific Data Types,,,,,2023-05-06T09:03:07Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/60472,yes,2.12.0,tf.where,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs," I suspect this because changing the input shape to (4, ) changes the output shape to (4, )",1.0,"it's inconsistent result, trigger is two differnt input argument",,2023-05-02T16:34:56Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/60312,no,2.12.0,tf.nn.conv2d,Performance bug,Performance bug,Slow Execution,Slow Execution,Test Case Context,Oracle for Performance Bug Detection,,,,,2023-04-13T10:01:27Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/60276,yes,2.13.0,tf.raw_ops.Gather,Vulnerability,integer overflow,Aborted (core dumped),"2023-04-09 14:03:32.257496: F tensorflow/core/framework/tensor_shape.cc:201] Non-OK-status: InitDims(dim_sizes) status: INVALID_ARGUMENT: Encountered overflow when multiplying 6291163412844499803 with 7, result: -1
Aborted (core dumped)",API Input Context,Large Input Tensor,,,,,2023-04-09T06:01:12Z,1.0,cu118
ACETest,https://github.com/tensorflow/tensorflow/issues/60273,yes,2.12.0,tf.raw_ops.UnicodeDecodeWithOffsets,Vulnerability,Check failed,Aborted (core dumped),"2023-04-09 13:47:12.779782: F tensorflow/core/framework/tensor.cc:770] Check failed: dtype() == expected_dtype (9 vs. 3) int32 expected, got int64
Aborted (core dumped)",API Input Context,Supporting Specific Data Types,,,,,2023-04-09T05:50:27Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/60199,yes,2.12.0,tf.raw_ops.MatrixDeterminant,Vulnerability,integer overflow,Aborted (core dumped),"2023-04-01 16:27:45.620825: F tensorflow/core/framework/tensor_shape.cc:201] Non-OK-status: InitDims(dim_sizes) status: INVALID_ARGUMENT: Encountered overflow when multiplying 7678600331551628182 with 15, result: -1
Aborted (core dumped)",API Input Context,Large Input Tensor,,1.0,integer overflow should be changed to checkfail,,2023-04-01T08:30:49Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/60131,yes,2.12.0,tf.keras.applications.ResNet50,Performance bug,Performance bug,Memory Leak,Memory Leak,Test Case Context,Oracle for Performance Bug Detection,,,,,2023-03-27T15:36:35Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/59754,yes,2.11.0,tf.gather_nd,Logical,Others,Op: ResourceGatherNd,"Colocation members, user-requested devices, and framework assigned devices, if any:
  resource (_Arg)  framework assigned device=/job:localhost/replica:0/task:0/device:GPU:0
  ResourceGatherNd (ResourceGatherNd) /job:localhost/replica:0/task:0/device:GPU:0

Op: ResourceGatherNd
Node attrs: dtype=DT_COMPLEX64, Tindices=DT_INT64
Registered kernels:",API Input Context,Supporting Specific Data Types,,,,,2023-02-21T09:50:12Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61601,yes,2.13.0,tf.keras.layers.MaxPooling2D,Vulnerability,Check failed,Check failed,"{""pid"":7,""type"":""jupyter"",""level"":40,""msg"":""2023-08-17 14:34:29.104423: F tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:959] Check failed: cudnnSetPoolingNdDescriptor( handle_.get(), (pooling_descriptor.mode() == dnn::PoolingMode::kMaximum ? cudnn_max_pooling_mode : CUDNN_POOLING_AVERAGE_COUNT_EXCLUDE_PADDING), propagate_nans ? CUDNN_PROPAGATE_NAN : CUDNN_NOT_PROPAGATE_NAN, nd, shape.data(), padding.data(), strides.data()) == CUDNN_STATUS_SUCCESS (3 vs. 0)"",""time"":""2023-08-17T14:34:29.104Z"",""v"":0}",API Input Context,Large List Element,,,,,2023-01-22T15:48:36Z,1.0,cu118
FuzzGPT,https://github.com/tensorflow/tensorflow/issues/61600,yes,2.13.0,tf.linalg.diag,Vulnerability,integer overflow,Encountered overflow,"Error:{{function_node __wrapped__MatrixDiagV3_device_/job:localhost/replica:0/task:0/device:GPU:0}} Encountered overflow when multiplying 12884901888 with 1610612736, result: -1
         [[{{node MatrixDiagV3}}]] [Op:MatrixDiagV3]",API Input Context,Large Integer Argument,,,,,2023-01-21T19:10:02Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/61603,yes,2.13.0,tf.compat.v1.keras.layers.MaxPool2D,Vulnerability,Check failed,Aborted,"2023-08-21 12:02:17.503892: F tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:983] Check failed: cudnnSetPoolingNdDescriptor( handle_.get(), (pooling_descriptor.mode() == dnn::PoolingMode::kMaximum ? cudnn_max_pooling_mode : CUDNN_POOLING_AVERAGE_COUNT_EXCLUDE_PADDING), propagate_nans ? CUDNN_PROPAGATE_NAN : CUDNN_NOT_PROPAGATE_NAN, nd, shape.data(), padding.data(), strides.data()) == CUDNN_STATUS_SUCCESS (3 vs. 0)
Aborted",API Input Context,Large List Element,,,,,2023-01-21T17:53:30Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/52064,yes,2.11.0,tf.keras.layers.Conv1D,Logical,RuntimeError,failed to prepare,RuntimeError: tensorflow/lite/kernels/reshape.cc:69 num_input_elements != num_output_elements (25000 != 0)Node number 2 (RESHAPE) failed to prepare.,API Input Context,Modeling Specific Inputs,,,,,2023-01-06T14:16:14Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/58790,yes,2.11.0,tf.math.cumsum,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,"My guess is that when doing cumsum on a ragged dimension, the summation is actually somehow carried out on the entirety of flat values, and then some subtractions based on row_splits turn the long cumsum list to the result at each dimension.",,,,2022-12-05T23:37:00Z,1.0,cu117
,https://github.com/tensorflow/tensorflow/issues/62280,yes,2.14.0,tf.raw_ops.Acos,Logical,InvalidArgumentError,InvalidArgumentError,"    raise errors.InvalidArgumentError(
tensorflow.python.framework.errors_impl.InvalidArgumentError: Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''",API Input Context,Modeling Specific Inputs,,,,,2023-10-30T12:59:35Z,,
,https://github.com/tensorflow/tensorflow/issues/62220,yes,2.14.0,tf.raw_ops.Asinh,Logical,InvalidArgumentError,InvalidArgumentError,"    raise errors.InvalidArgumentError(
tensorflow.python.framework.errors_impl.InvalidArgumentError: Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''",API Input Context,Modeling Specific Inputs,,,,,2023-10-25T07:04:01Z,,
,https://github.com/tensorflow/tensorflow/issues/62205,yes,2.13.0,tf.image.resize,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,,2023-10-24T08:24:07Z,,
,https://github.com/tensorflow/tensorflow/issues/62168,yes,2.14.0,tf.reduce_prod,Vulnerability,Segmentation Fault,segmentation fault,[1]    13162 segmentation fault (core dumped)  ./benchmark_model --graph=../poc/split_v.tflite,Others,Others,,,,,2023-10-19T06:23:32Z,,
,https://github.com/tensorflow/tensorflow/issues/62167,yes,2.14.0,tf.pad,Vulnerability,Segmentation Fault,segmentation fault,[1]    13162 segmentation fault (core dumped)  ./benchmark_model --graph=../poc/split_v.tflite,Others,Others,,,,,2023-10-19T06:20:18Z,,
,https://github.com/tensorflow/tensorflow/issues/61907,yes,2.13.0,tf.linalg.cholesky,Logical,NotFoundError,Could not find device for node,"NotFoundError: Could not find device for node: {{node Cholesky}} = Cholesky[T=DT_HALF]
All kernels registered for op Cholesky:",API Input Context,Supporting Specific Data Types,,,,,2023-09-19T05:37:10Z,,
,https://github.com/tensorflow/tensorflow/issues/61390,yes,2.11.0,tf.keras.layers.Dense,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Large Input Tensor,,,,,2023-07-25T19:38:25Z,,
,https://github.com/tensorflow/tensorflow/issues/60772,yes,2.12.0,tf.math.count_nonzero,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Large Input Tensor,,,,,2023-06-03T18:23:30Z,,
,https://github.com/tensorflow/tensorflow/issues/60654,yes,2.11.0,tf.math.abs,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,,2023-05-22T09:00:53Z,,
,https://github.com/tensorflow/tensorflow/issues/60485,yes,2.14.0,tf.math.cumsum,Logical,InvalidArgumentError,"OpKernel was found, but attributes didn't match","InvalidArgumentError: Detected unsupported operations when trying to compile graph __inference_cumsum_7[_XlaMustCompile=true,config_proto=3175580994766145631,executor_type=11160318154034397263] on XLA_CPU_JIT: Cumsum (No registered 'Cumsum' OpKernel for XLA_CPU_JIT devices compatible with node {{node Cumsum}}
         (OpKernel was found, but attributes didn't match) Requested Attributes: T=DT_INT8, Tidx=DT_INT32, exclusive=false, reverse=false){{node Cumsum}}",API Input Context,Supporting Specific Data Types,,,,,2023-05-03T16:51:04Z,,
,https://github.com/tensorflow/tensorflow/issues/60472,yes,2.14.0,tf.slice,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-05-02T16:34:56Z,,
