Detected,Issue,Related to Tensor,Buggy API,Time,Version,CUDA,Category,Impact,Log Rule,Log Message,Category.1,Trigger Mechanism,Within Scope,Need More Inspection,Reason not agree,Unnamed: 16
,https://github.com/pytorch/pytorch/issues/109586,yes,torch.max_pool2d,2023-09-19T08:21:03Z,2.1.0,CPU,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Negative Integer Argument,,,,
,https://github.com/pytorch/pytorch/issues/97088,yes,torch.embedding,2023-03-18T11:01:11Z,2.1.0,cu117,Vulnerability,Segmentation fault,Segmentation fault,Segmentation fault (core dumped),API Input Context,Large Input Tensor,,,,
,https://github.com/pytorch/pytorch/issues/100343,yes,torch.sum,2023-04-30T18:44:23Z,2.1.0,cu118,Logical,IndexError,out of bounds for,IndexError: index 3 is out of bounds for dimension 0 with size 2,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
ACETest,https://github.com/pytorch/pytorch/issues/98136,yes,torch._grid_sampler_2d_cpu_fallback,2023-04-01T08:58:55Z,2.1.0,cu118,Vulnerability,Segmentation fault,Segmentation fault,Segmentation fault (core dumped),API Input Context,Negative Integer Argument,,,,
,https://github.com/pytorch/pytorch/issues/130078,yes,torch.isin,2024-07-04T00:34:09Z,2.0.0,,Logical,RuntimeError,operation not permitted when stream is capturing,RuntimeError: CUDA error: operation not permitted when stream is capturing,API Input Context,Large Input Tensor,,,,
,https://github.com/pytorch/pytorch/issues/128494,yes,torch.meshgrid,2024-06-12T08:22:26Z,2.0.0,,Logical,TypeError,object is not subscriptable,TypeError: 'torch._C.Value' object is not subscriptable ,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/118302,yes,torch.adaptive_avg_pool1d,2024-01-25T17:04:07Z,2.0.1,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/118297,yes,torch.cosine_similarity,2024-01-25T16:47:20Z,2.0.1,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/118297,yes,torch._C._linalg.linalg_svdvals,2024-01-25T16:47:20Z,2.0.1,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/114943,yes,torch.einsum,2023-12-01T10:24:55Z,2.1.0,,Performance bug,Performance bug,Tried to allocate,OutOfMemoryError,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/97913,no,torch.stack,2023-03-29T21:40:31Z,2.0.0,,Logical,ValueError,Cannot determine scalar type,"torch.onnx.errors.SymbolicValueError: Cannot determine scalar type for this '<class 'torch.TensorType'>' instance and a default value was not provided.  [Caused by the value '21 defined in (%21 : Tensor = onnx::Sub(%input, %20), scope: __main__.Example::/torch.nn.modules.normalization.LayerNorm::layer_norm",Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/96277,yes,torch.adaptive_max_pool1d,2023-03-08T06:10:16Z,2.1.0,,Vulnerability,Segmentation fault,Segmentation fault,Segmentation fault (core dumped),API Input Context,Large Input Tensor,,,,
,https://github.com/pytorch/pytorch/issues/94808,yes,torch.lstm,2023-02-14T09:09:10Z,2.0.0,,Vulnerability,Segmentation fault,Segmentation fault,Segmentation fault (core dumped),API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/94704,yes,torch.where,2023-02-12T16:32:30Z,2.0.0,,Logical,RuntimeError,INTERNAL ASSERT FAILED,RuntimeError: !needs_dynamic_casting<func_t>::check(iter) INTERNAL ASSERT FAILED ,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/94698,yes,torch.avg_pool1d,2023-02-12T06:25:54Z,2.0.0,,Vulnerability,Segmentation fault,Segmentation fault,Segmentation fault (core dumped),API Input Context,Large Input Tensor,,,,
,https://github.com/pytorch/pytorch/issues/94696,yes,torch.max_pool1d_with_indices,2023-02-12T06:10:39Z,2.0.0,,Vulnerability,Segmentation fault,Segmentation fault,Segmentation fault (core dumped),API Input Context,Large Input Tensor,,,,
,https://github.com/pytorch/pytorch/issues/94668,yes,torch.lstm,2023-02-11T08:48:00Z,2.0.0,,Vulnerability,Segmentation fault,Segmentation fault,Segmentation fault (core dumped),API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/94594,yes,torch.histogramdd,2023-02-10T13:50:03Z,2.0.0,,Vulnerability,Segmentation fault,Segmentation fault,Segmentation fault (core dumped),API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/94208,yes,torch.zeros_like,2023-02-06T19:30:11Z,2.0.0,,Logical,RuntimeError,output with shape,"RuntimeError: output with shape [1, 3, 3] doesn't match the broadcast shape [9, 3, 3]",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/94115,yes,torch.cat,2023-02-04T01:58:14Z,2.0.0,,Logical,RuntimeError,Tensors must have same number of dimensions,RuntimeError: Tensors must have same number of dimensions: got 5 and 2,API Input Context,Empty Input Tensor,,,,
,https://github.com/pytorch/pytorch/issues/94111,yes,torch.svd,2023-02-04T01:32:54Z,2.0.0,,Logical,RuntimeError,INTERNAL ASSERT FAILED,"RuntimeError: !this_view_meta->has_fw_view() INTERNAL ASSERT FAILED at ""/opt/conda/conda-bld/pytorch_1672906354936/work/torch/csrc/autograd/autograd_meta.cpp"":256, please report a bug to PyTorch.  Expected the output of forward differentiable view operations to have the tangent have the same layout as primal",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/commit/bb4e9e9124a81859de6ac1ef0c0798643cb9b7a6,yes,torch.cat,2023,2.1.0,,Logical,AssertionError,assert,assert torch.allclose(AssertionError: ,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/commit/2af09393f936cb646fea03bdedc8d7429f1120f6,yes,torch.masked_scatter,2023,2.0.0,,Logical,RuntimeError,expected BoolTensor or ByteTensor for mask,RuntimeError: masked_select: expected BoolTensor or ByteTensor for mask,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/commit/1a845579b67f522e22d899126c92672f46f6a7b9,yes,torch.rand,2022,2.1.0,,Logical,Inconsistent results,object is not subscriptable,"/home/xxx/.local/lib/python3.7/site-packages/torch/onnx/utils.py:366: UserWarning: Skipping _decide_input_format
 'NoneType' object is not subscriptable
  warnings.warn(""Skipping _decide_input_format\n {}"".format(e.args[0]))
PyTorch Output DTypes: (torch.float64, torch.float32)
ONNX Output DTypes: ('onnx.TensorProto.FLOAT', 'onnx.TensorProto.FLOAT')",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/commit/6c235ef267c350225b7ca3f0caedb1a05c9df9ec,yes,torch.normal,2021,2.0.0,,Logical,RuntimeError,but found std,"RuntimeError: normal_ expects std > 0.0, but found std=-1",API Input Context,Negative Integer Argument,,,,
