Library,Commit,Buggy API,Log Rule,Root Cause,Date,bug report,PR/Issue,Violation,Impact,Action,condition,Fixing element,Fixing element detail,,,
pytorch,https://github.com/pytorch/pytorch/commit/48a49b2683ffa21eb1b472e503c129c043c18f87,torch.nn.ConstantPad3d,too large,Error Message,2023-07-10 15:00:47,"use more informative error message for ConstandPad2d/3d.  the current error message for `torch.nn.ConstantPad2d` and `torch.nn.ConstantPad3d` is misleading, this PR fixes the problem.",2,Misleading,Confusing Error Message,improve,Macro Checker,Improve Error Message,Error Message,,,
pytorch,https://github.com/pytorch/pytorch/commit/999bae0f54108ffc5b7cf2524a02a83901554b16,torch.nn.Conv1d,NA,Edge Cases,2023-05-30 1:07:59,Add padding check for use_nnpack. nnp_convolution_output doesn't support the case of input padding > = kernel_size.,,Insufficient,Unexpected Behavior,extend,If Checker,Valid Tensor Dimension,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/1becd2c314f45bded8d3fbec91d785e7190b4afe,torch.nn.CTCLoss,Expected,Device Availability,2023-12-12 17:20:20,"Align checks in _use_cudnn_ctc_loss with those in _cudnn_ctc_loss.This PR is intended to fix the following problem: When using `CTCLoss`, there is a cudnn path gated by a call to [`_use_cudnn_ctc_loss`] which checks some conditions. However, there are more checks in `_cudnn_ctc_loss`.  some of which are not present in `_use_cudnn_ctc_loss` (e.g. the check that `targets` is on CPU which will cause a RuntimeError after dispatching to `_cudnn_ctc_loss`). Instead, these checks should be in `_use_cudnn_ctc_loss` so that the normal `_ctc_loss` path will be used if the checks are not met)",1,Insufficient,Others,extend,If Checker,Available Device,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/8f26d6aabcad991da88b663467ee2080a38631f7,torch.nn.functional.conv2d,Segmentation fault (core dumped),Edge Cases,2017-10-13 10:56:19, More shape checking for ConvNd.* check conv weight & bias dims,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/cf732053e4f6b93b0a93006613552cd97f415b80,torch.nn.functional.embedding_bag,Assertion,Boundary Value,2023-03-16 22:01:43," Today if we're accessing out of bound embedding rows, it'll either go through or throw IMA. This is not ideal - adding bound checks. This will probably slow things down - need to benchmark it.",,Missing,Program Crash,add,Macro Checker,In Range Tensor Indexing,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/9a9eadacc6ac3b734a6d607ae6f63ec1a0d1438d,torch.nn.functional.grid_sample,invalid combination of arguments,Device Availability,2018-06-19 11:53:46,explicitly check device for grid_sampler,,Missing,Program Crash,add,If Checker,Available Device,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/bf32ea80942ce720b105efcd517fd11182edeb08,torch.nn.InstanceNorm1d,NA,Edge Cases,2018-07-27 12:24:07," Fix dimension check in 1D instance norm, allowing 2D tensors alongsid e 3D.",,Insufficient,Program Crash,extend,If Checker,Valid Tensor Dimension,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/d8466964b348b6172317f70b8e52de02402bad54,torch.nn.MultiMarginLoss,Invalid __global__,Edge Cases,2022-11-15 15:35:51,Add range check to multi margin loss target ,,Missing,Program Crash,add,If Checker,Valid Tensor Dimension,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/7ddf167ba5db277e02f983a6bde2bc3f5fbe1caa,torch.nn.UpsamplingNearest2d,NA,Edge Cases,2022-09-30 14:30:06,Move the asserts in shape functions upsample_nearest_2d op. The assert check are moved to top and the function now returns out. This is needed by the downstream torch-mlir project to correctly determine the output type.,,Missing,Unexpected Behavior,add,If Checker,Object is Not Empty,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/8198474eb763c8d526ede3418211479c2f4cbd30,torch.onnx.export,NA,Computation Graph,2023-11-02 15:31:32,"Previous to this PR, we only checked TorchScript nodes for scope compatibility, skipping their parent's scope reference check.",1,Missing,Unexpected Behavior,add,Checker API,Valid Computation Graph,Computation Graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/8340762211e3b55caa178bac748bd902249f6fc0,torch.optim.lr_scheduler.CosineAnnealingWarmRestarts,NA,Type Checking,2023-06-13 22:13:05,Update lr_scheduler.py to check the type of eta_min. Add float assertion to `eta_min` parameter in `CosineAnnealingWarmRestarts`.,,Missing,Unexpected Behavior,add,Type Checking API,Valid Object Type,Regular Object,,,
pytorch,https://github.com/pytorch/pytorch/commit/bbc7c79b20e67da450dd9b7de70cc6b68e656714,torch.rand,an illegal memory,Device Type,2023-03-27 14:57:27,add device checks for sparse csr,,Missing,Unexpected Behavior,add,Macro Checker,Valid Device Type,Device,,,
pytorch,https://github.com/pytorch/pytorch/commit/7ea6559658a6f650363f8b96f462bbc047e29124,torch.stack,invalid argument,Edge Cases,2020-02-04 18:00:54,Add size checks to torch.stack. Checks the size of each tensor passed to `torch.stack` before calling `cat` to address #29510. This is done in the `get_stack_input` function as that is a common path. The function now compares the size of each tensor in the TensorList to the size of the first tensor and throws an exception when the sizes are not equal.,,Missing,Others,add,Macro Checker,Shape Mismatch Between Tensors,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/92ebb04f9206882e6d312a8b91318545f43a53c2,torch.Tensor,NA,Type Checking,2020-09-24 19:26:59,added check for NumberType,,Insufficient,Unexpected Behavior,extend,If Checker,Valid Tensor Type,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/e9c1ccee2247a7746fde202067a7d47b72809968,torch.Tensor.normal_,expects,Edge Cases,2022-03-01 18:28:14,Bug fix: allow std 0 in the meta definition of normal_. All other `normal` variants allow 0.  Looks like a mistake made while copying the check. ,2,Improper,Others,update,Macro Checker,Others,Others,,,
pytorch,https://github.com/pytorch/pytorch/commit/ae55619a2bb73ebcdc80b02a6ccd72275a9ce23e,torch.tensordot,please report a bug to,Type Checking,2023-04-14 12:57:35,Add check for same dtype in tensordot implementation,,Missing,Unexpected Behavior,add,Macro Checker,Valid Tensor Type,Tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/cc6a51c9f3ee97a06ff9c0b84477e88e33e31137,torch.utils.data.WeightedRandomSampler,NA,Edge Cases,2022-06-02 17:12:14,added shape checking to WeightedRandomSampler,,Missing,Others,add,Macro Checker,Valid Tensor Dimension,Tensor,,,
