Detected,Related to Tensor,Time,Version,CUDA,Category Impact,Impact,Buggy API,Log Rule,Log Rule 2,Log Message,Issue,Category,Trigger,Need More Inspection,Reason not agree
,yes,2023-03-23T18:57:19Z,2.0.0,CPU,Logical,RuntimeError,torch.onnx.export,Only tuples,N\A,"RuntimeError: Only tuples, lists and Variables are supported as JIT inputs/outputs. Dictionaries and strings are also accepted, but their usage is not recommended. Here, received an input of unsupported type: torch._C.ScriptObject",https://github.com/pytorch/pytorch/issues/97456,API Input Context,Modeling Parameter Space,,
,no,2023-03-16T21:19:53Z,2.0.0,N.A,Logical,TypeError,torch.onnx.export,positional argument,N\A,TypeError: MyModel.forward() takes 1 positional argument but 2 were given,https://github.com/pytorch/pytorch/issues/96981,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,yes,2023-04-26T12:40:00Z,2.0.0,cu11,Logical,RuntimeError,torch.Tensor.norm,Expected out tensor,N\A,"RuntimeError: Expected out tensor to have dtype float, but got c10::BFloat16 instead",https://github.com/pytorch/pytorch/issues/100085,API Input Context,Modeling Specific Data Types,,
,no,2023-03-31T07:13:17Z,2.0.0,cu117,Logical,RuntimeError,torch.nn.Sequential,has no attribute,N\A,RuntimeError: Module 'Sequential' has no attribute '_modules' :,https://github.com/pytorch/pytorch/issues/98064,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,no,2023-07-06T10:23:34Z,2.0.0,cu117,Logical,Inconsistent results,torch.nn.LSTM,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/104697,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-02-01T05:27:07Z,2.0.0,cu117,Logical,BackendCompilerFailed,torch.nn.functional.log_softmax,assert,N\A,"    assert all(index[i] == 0 for i in reduced_idx)
AssertionError",https://github.com/pytorch/pytorch/issues/93819,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,yes,2023-07-13T08:08:47Z,2.0.0,cu117,Logical,TypeError,torch.onnx.export,not subscriptable,N\A,TypeError: 'NoneType' object is not subscriptable (Occurred when translating col2im).,https://github.com/pytorch/pytorch/issues/105134,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-01-21T03:41:21Z,2.0.0,cu117,Logical,RuntimeError,torch.nn.Conv2d,should be the same,N\A,RuntimeError: Input type (torch.FloatTensor) and weight type (Mkldnntorch.FloatTensor) should be the same,https://github.com/pytorch/pytorch/issues/92740,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-01-20T08:15:59Z,2.0.0,cu117,Logical,RuntimeError,torch.nn.Linear,The size of tensor a,N\A,RuntimeError: The size of tensor a (3) must match the size of tensor b (2) at non-singleton dimension 0,https://github.com/pytorch/pytorch/issues/92674,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-04-03T05:58:40Z,2.0.0,N.A,Logical,Inconsistent results,torch.onnx.export,graph(,N\A,"Exported graph: graph(%input : Float(1, 16, 400, 640, strides=[4096000, 256000, 640, 1], requires_grad=0, device=cuda:0),",https://github.com/pytorch/pytorch/issues/98189,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
TitanFuzz,yes,2023-02-22T01:57:02Z,2.0.0,cu117,Logical,Name Error,torch.Tensor.moveaxis,is not defined,N\A,NameError: name 'buf0' is not defined,https://github.com/pytorch/pytorch/issues/95262,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,yes,2023-04-08T16:29:08Z,2.0.0,cu117,Logical,RuntimeError,torch.Tensor.matmul,Sparse CSR tensors,N\A,RuntimeError: Sparse CSR tensors do not have strides,https://github.com/pytorch/pytorch/issues/98675,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-03-16T17:01:27Z,2.0.0,N.A,Logical,Others,torch.Tensor.matmul,Cannot read,N\A,rocBLAS error: Cannot read /home/kali/miniconda3/envs/pytorch2/lib/python3.9/site-packages/torch/lib/rocblas/library/TensileLibrary.dat: No such file or directory,https://github.com/pytorch/pytorch/issues/96964,Test Case Context,Model Tensor Execution on CUDA Devices,,
TitanFuzz,yes,2023-02-02T19:44:24Z,2.0.0,cu117,Logical,RuntimeError,torch.linalg.lstsq,shapes cannot,N\A,# RuntimeError: mat1 and mat2 shapes cannot be multiplied (6x3 and 2x3),https://github.com/pytorch/pytorch/issues/93982,API Input Context,Modeling Parameter Space,,
,no,2023-04-03T13:27:17Z,2.0.0,N.A,Logical,Inconsistent results,torch.jit.script,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/98210,Test Case Context,Modeling Compile/Eager Execution Mode,,
,no,2022-12-29T13:04:39Z,2.0.0,N.A,Logical,RuntimeError,torch.jit.script,Can't redefine method,N\A,RuntimeError: Can't redefine method: forward on class: __torch__.SoSadModule (of Python compilation unit at: 0x3f45600),https://github.com/pytorch/pytorch/issues/91504,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,no,2023-01-24T18:24:24Z,2.0.0,N.A,Logical,Inconsistent results,torch.jit.save,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/92910,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-03-29T21:40:31Z,2.0.0,N.A,Logical,ValueError,torch.jit.annotate,Cannot determine scalar type,N\A,"torch.onnx.errors.SymbolicValueError: Cannot determine scalar type for this '<class 'torch.TensorType'>' instance and a default value was not provided.  [Caused by the value '21 defined in (%21 : Tensor = onnx::Sub(%input, %20), scope: __main__.Example::/torch.nn.modules.normalization.LayerNorm::layer_norm",https://github.com/pytorch/pytorch/issues/97913,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
,no,2023-10-13T21:53:59Z,2.0.0,cu117,Logical,Performance bug,torch.index_select,Slow Execution,N\A,Slow Execution,https://github.com/pytorch/pytorch/issues/111247,Test Case Context,Oracle for Performance Bug Detection,,
,no,2023-02-21T07:35:18Z,2.0.0,N.A,Logical,Others,torch.index_add,compile error,N\A,torch._inductor.exc.CppCompileError: C++ compile error,https://github.com/pytorch/pytorch/issues/95189,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,no,2023-05-23T13:50:21Z,2.0.0,cu117,Logical,Others,torch.fx.symbolic_trace,symbolically traced variables,N\A,TraceError: symbolically traced variables cannot be used as inputs to control flow,https://github.com/pytorch/pytorch/issues/102085,Test Case Context,Modeling Multiple API Usage Pattern,,
,no,2023-04-19T19:09:46Z,2.0.0,N.A,Logical,RuntimeError,torch.func.jacrev,In order to use an,N\A,"RuntimeError: In order to use an autograd.Function with functorch transforms (vmap, grad, jvp, jacrev, ...), it must override the setup_context staticmethod. For more details, please see https://pytorch.org/docs/master/notes/extending.func.html",https://github.com/pytorch/pytorch/issues/99556,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-06-07T17:18:19Z,2.0.0,cu118,Logical,RuntimeError,torch.func.functional_call.jacrev,Cannot access data,N\A,RuntimeError: Cannot access data pointer of Tensor that doesn't have storage,https://github.com/pytorch/pytorch/issues/103161,Test Case Context,Modeling Multiple API Usage Pattern,,
,no,2023-03-29T20:54:51Z,2.0.0,cu117,Logical,Inconsistent results,torch.func.functional_call,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/97909,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-09-17T00:24:34Z,2.0.0,N.A,Logical,Inconsistent results,torch.fft.fft,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/109448,Test Case Context,Model Tensor Execution on CUDA Devices,,
,yes,2023-05-12T02:59:52Z,2.0.0,cu121,Performance bug,Performance bug,torch.einsum,Slow Execution,N\A,Slow Execution,https://github.com/pytorch/pytorch/issues/101249,Test Case Context,Oracle for Performance Bug Detection,,
,no,2023-05-08T18:09:01Z,2.0.0,cu117,Logical,Inconsistent results,torch.distributions.categorical.Categorical,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/100884,API Input Context,Modeling Parameter Space,,
,yes,2023-10-01T20:44:04Z,2.0.0,cu117,Logical,ValueError,torch.distributions.categorical.Categorical,to satisfy the constraint,N\A,"Expected parameter probs (Tensor of shape (256,)) of distribution Categorical(probs: torch.Size([256])) to satisfy the constraint Simplex(), but found invalid values:",https://github.com/pytorch/pytorch/issues/110366,API Input Context,Modeling Parameter Space,,
,no,2023-07-05T08:36:54Z,2.0.0,CPU,Logical,AssertionError,torch.distributed.rpc.backend_registry.register_backend,assert,N\A,"Traceback (most recent call last):
  File ""/localdata/georgew/scratch/my_rpc_backend.py"", line 27, in <module>
    assert hasattr(rpc.BackendType, ""MY_BACKEND_NAME"")  # fails
AssertionError",https://github.com/pytorch/pytorch/issues/104620,API Input Context,Modeling Parameter Space,,
,no,2023-07-02T07:33:57Z,2.0.0,cu117,Performance bug,Performance bug,torch.distributed.init_process_group,Hang,N\A,Hang,https://github.com/pytorch/pytorch/issues/104506,Test Case Context,Oracle for Performance Bug Detection,,
,yes,2023-05-09T01:26:39Z,2.0.0,N.A,Logical,RuntimeError,torch.concat,Unexpected floating,N\A,RuntimeError: Unexpected floating ScalarType in at::autocast::prioritize,https://github.com/pytorch/pytorch/issues/100932,API Input Context,Modeling Specific Data Types,,
,yes,2023-01-01T11:14:12Z,2.0.0,CPU,Performance bug,Performance bug,torch.compile,Slow Execution,N\A,Slow Execution,https://github.com/pytorch/pytorch/issues/93498,Test Case Context,Oracle for Performance Bug Detection,,
,no,2023-04-28T08:55:57Z,2.0.0,cu117,Logical,Others,torch.compile,raise,N\A,"raise ProcessRaisedException(msg, error_index, failed_process.pid)
torch.multiprocessing.spawn.ProcessRaisedException:",https://github.com/pytorch/pytorch/issues/100239,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,yes,2023-04-11T09:47:02Z,2.0.0,N.A,Vulnerability,Segmentation fault,torch.compile,Segmentation fault,N\A,Segmentation fault (core dumped),https://github.com/pytorch/pytorch/issues/98835,API Input Context,Empty Input Tensor,,
,no,2023-03-30T16:45:08Z,2.0.0,cu117,Logical,AssertionError,torch.compile,daemonic processes,N\A,AssertionError: daemonic processes are not allowed to have children,https://github.com/pytorch/pytorch/issues/97992,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,no,2023-03-28T15:15:01Z,2.0.0,cu117,Logical,RuntimeError,torch.compile,Failed running,N\A,"RuntimeError: Failed running call_module model(*(FakeTensor(FakeTensor(..., device='meta', size=(1, 100)), cpu),), **{}):",https://github.com/pytorch/pytorch/issues/97784,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,yes,2023-03-23T11:55:13Z,2.0.0,cu117,Logical,AssertionError,torch.compile,assert,N\A,"    assert ""source"" in options and options[""source""] is not None
AssertionError: ",https://github.com/pytorch/pytorch/issues/97436,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,yes,2023-03-22T07:13:46Z,2.0.0,cu117,Logical,BackendCompilerFailed,torch.compile,raised,N\A,"torch._dynamo.exc.BackendCompilerFailed: debug_wrapper raised LoweringException: AssertionError: Pointwise( 'cuda',",https://github.com/pytorch/pytorch/issues/97340,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,yes,2023-02-14T20:27:40Z,2.0.0,cu117,Logical,RuntimeError,torch.func.grad,Cannot access,N\A,RuntimeError: Cannot access data pointer of Tensor that doesn't have storage,https://github.com/pytorch/pytorch/issues/94851,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,yes,2023-02-13T22:24:56Z,2.0.0,cu117,Logical,Inconsistent results,torch.compile,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/94773,Test Case Context,Modeling Compile/Eager Execution Mode,,
,yes,2023-01-31T19:17:07Z,2.0.0,cu117,Logical,BackendCompilerFailed,torch.compile,object has no attribute,N\A,torch._dynamo.exc.BackendCompilerFailed: debug_wrapper raised AttributeError: 'ExpandView' object has no attribute 'make_indexer',https://github.com/pytorch/pytorch/issues/93386,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
,yes,2023-01-30T11:09:57Z,2.0.0,cu117,Logical,AssertionError,torch.compile,AssertionError,N\A,AssertionError,https://github.com/pytorch/pytorch/issues/93262,Test Case Context+API Input Context,Modeling Compile/Eager Execution Mode+Modeling Parameter Space,,
,yes,2022-12-31T01:40:33Z,2.0.0,cu118,Logical,RuntimeError,torch.compile,Trying to backward,N\A,RuntimeError: Trying to backward through the graph a second time (or directly access saved tensors after they have already been freed). Saved intermediate values of the graph are freed when you call .backward() or autograd.grad(). Specify retain_graph=True if you need to backward through the graph a second time or if you need to access saved tensors after calling backward.,https://github.com/pytorch/pytorch/issues/91542,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Multiple API Usage Pattern,,
,yes,2022-12-13T17:28:48Z,2.0.0,N.A,Logical,Others,torch.compile,argument of type,N\A,NotImplementedError: argument of type: <class 'typing._GenericAlias'>,https://github.com/pytorch/pytorch/issues/90774,Test Case Context,Supporting External Library API,,
,yes,2023-01-08T23:31:55Z,2.0.0,N.A,Logical,Inconsistent results,torch.distributions.Categorical,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/91863,API Input Context,Modeling Parameter Space,,
,yes,2023-04-11T19:00:20Z,2.0.0,cu121,Logical,RuntimeError,torch.cat,Sparse CSR tensors,N\A,RuntimeError: Sparse CSR tensors do not have is_contiguous,https://github.com/pytorch/pytorch/issues/98861,API Input Context,Modeling Parameter Space,,
,yes,2023-03-07T10:40:44Z,2.0.0,N.A,Logical,ValueError,torch.autograd.gradgradcheck,got an unexpected keyword,N\A,TypeError: gradgradcheck() got an unexpected keyword argument 'check_sparse_nnz',https://github.com/pytorch/pytorch/issues/96187,API Input Context,Modeling Parameter Space,,
,yes,2023-08-03T16:41:36Z,2.0.0,CPU,Logical,Others,torch.autograd.grad,bad operand,N\A,bad operand type for unary -: 'NoneType',https://github.com/pytorch/pytorch/issues/106556,Test Case Context+API Input Context,Modeling Complex Tensor Operations and Layer Interactions+Modeling Parameter Space,,
ACETest,yes,2023-02-10T13:28:31Z,2.0.0,cu118,Vulnerability,Segmentation fault,torch.affine_grid_generator,Segmentation fault,N\A,Segmentation fault (core dumped),https://github.com/pytorch/pytorch/issues/94590,API Input Context,Large Input Tensor,,
"TitanFuzz, DeepRel",yes,2023-01-21T03:55:09Z,2.0.0,cu117,Logical,RuntimeError,torch.Tensor.addmm,The size of tensor a,N\A,RuntimeError:  The size of tensor a (64) must match the size of tensor b (32) at non-singleton dimension 0,https://github.com/pytorch/pytorch/issues/92742,Test Case Context,Modeling Multiple API Usage Pattern+Modeling Compile/Eager Execution Mode,,
ACETest,yes,2023-02-10T13:46:52Z,2.0.0,cu118,Vulerability,InvalidPointer,torch._remove_batch_dim,Aborted (core dumped),Aborted,"free(): invalid pointer
Aborted (core dumped)",https://github.com/pytorch/pytorch/issues/94593,API Input Context,Negative Integer Argument,,
,yes,2022-12-15T15:11:28Z,2.0.0,CPU,Logical,Inconsistent results,torch._dynamo.optimizations.training.aot_autograd,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/90923,Test Case Context,Modeling Compile/Eager Execution Mode,,
,no,2023-03-18T08:34:15Z,2.0.0,cu117,Logical,Graph break,torch._dynamo.explain, missing:,N\A,torch._dynamo.exc.Unsupported: missing: POP_FINALLY,https://github.com/pytorch/pytorch/issues/97084,Test Case Context,Supporting External Library API,,
,yes,2023-02-10T13:37:37Z,2.0.0,cu116,Logical,IndexError,torch._C._nn.upsample_nearest2d,out of bounds for,N\A,IndexError: index 2 is out of bounds for dimension 0 with size 2,https://github.com/pytorch/pytorch/issues/94591,Test Case Context,Modeling Compile/Eager Execution Mode,,
,yes,2023-03-20T06:01:36Z,2.0.0,cu118,Logical,TypeError,torch.nn.MultiheadAttention,must be Tensor,N\A,"TypeError: _native_multi_head_attention(): argument 'qkv_bias' (position 7) must be Tensor, not NoneType",https://github.com/pytorch/pytorch/issues/97128,API Input Context,Modeling Parameter Space,,
,no,2023-05-31T23:02:44Z,2.0.1,cu117,Logical,Inconsistent results,torch.distributed.fsdp.FullyShardedDataParallel,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/102667,API Input Context,Modeling Parameter Space,,
,yes,2023-06-20T11:57:06Z,2.0.1,N.A,Logical,RuntimeError,torch.vmap,does not require,N\A,element 0 of tensors does not require grad and does not have a grad_fn,https://github.com/pytorch/pytorch/issues/103879,API Input Context,Modeling Parameter Space,,
,no,2023-07-14T04:38:49Z,2.0.1,N.A,Performance bug,Performance bug,torch.utils.data.DataLoader,Slow Execution,N\A,Slow Execution,https://github.com/pytorch/pytorch/issues/105203,Test Case Context,Supporting External Library API,,
,no,2023-05-19T03:12:11Z,2.0.1,cu117,Logical,Inconsistent results,torch.utils.data.DataLoader,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/101850,API Input Context,Modeling Parameter Space,,
,yes,2023-07-21T14:35:11Z,2.0.1,N.A,Logical,Inconsistent results,torch.unique,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/105742,API Input Context,Modeling Parameter Space,,
,no,2023-10-16T12:01:26Z,2.0.1,cu117,Logical,RuntimeError,torch.compile,Failed running,N\A,"torch._dynamo.exc.TorchRuntimeError: Failed running call_function <Wrapped method <original tolist>>(*(FakeTensor(..., size=(1,), dtype=torch.int64),), **{}):
.tolist() is not supported for tensor subclasses, got FakeTensor",https://github.com/pytorch/pytorch/issues/111370,Test Case Context,Modeling Compile/Eager Execution Mode,,
,yes,2023-09-08T18:02:03Z,2.0.1,cu118,Logical,Inconsistent results,torch.Tensor.any,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/108882,Test Case Context,Model Tensor Execution on CUDA Devices,,
,yes,2023-07-19T17:23:18Z,2.0.1,cu117,Logical,RuntimeError,torch.sparse.sampled_addmm,but got,N\A,"RuntimeError: crow_indices is supposed to be a vector, but got 2 dimensional tensor.",https://github.com/pytorch/pytorch/issues/105548,API Input Context,Modeling Parameter Space,,
,yes,2023-09-16T20:47:59Z,2.0.1,cu117,Performance bug,Performance bug,torch.sparse.mm,Memory Leak,N\A,Memory Leak,https://github.com/pytorch/pytorch/issues/109445,Test Case Context,Oracle for Performance Bug Detection,,
,yes,2023-09-17T16:45:33Z,2.0.1,N.A,Logical,Inconsistent results,torch.sparse_coo_tensor,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/109462,API Input Context,Modeling Parameter Space,,
,no,2023-06-21T06:25:05Z,2.0.1,cu118,Logical,RuntimeError,torch.save,Parent directory,N\A,RuntimeError: Parent directory C:\Users\ユーザー名\source\ does not exist.,https://github.com/pytorch/pytorch/issues/103949,API Input Context,Modeling Parameter Space,,
,no,2023-05-16T23:58:51Z,2.0.1,cu117,Logical,RuntimeError,torch.profiler.profile,INTERNAL ASSERT,N\A,RuntimeError: stack.size() INTERNAL ASSERT FAILED at,https://github.com/pytorch/pytorch/issues/101632,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,
,no,2023-07-27T08:09:57Z,2.0.1,N.A,Logical,TypeError,torch.optim.Optimizer.add_param_group,invalid combination of arguments,N\A,"TypeError: _foreach_addcdiv_() received an invalid combination of arguments - got (list, list, tuple, list), but expected one of:",https://github.com/pytorch/pytorch/issues/106121,API Input Context,Modeling Parameter Space,,
,no,2023-08-01T03:00:21Z,2.0.1,N.A,Logical,Inconsistent results,torch.optim.lr_scheduler.StepLR,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/106359,API Input Context,Modeling Parameter Space,,
,yes,2023-08-22T15:43:54Z,2.0.1,N.A,Logical,RuntimeError,torch.ops.aten.clamp.out,value cannot be converted,N\A,# RuntimeError: value cannot be converted to type int8_t without overflow,https://github.com/pytorch/pytorch/issues/107702,API Input Context,Modeling Parameter Space,,
,yes,2023-08-22T15:35:09Z,2.0.1,N.A,Logical,Inconsistent results,torch.ops.aten.arange.out,Inconsistent results,N\A,Inconsistent results,https://github.com/pytorch/pytorch/issues/107701,API Input Context,Modeling Specific Data Types,,
,yes,2023-09-26T04:47:26Z,2.0.1,N.A,Vulnerability,Floating point exception,torch.onnx.export,Floating point exception,N\A,Floating point exception (core dumped),https://github.com/pytorch/pytorch/issues/110056,API Input Context,Empty Input Tensor,,
